127.0.0.1 - - [02/Aug/2023:14:40:26 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:44:56 +0530] "GET /Pharmacy/javax.faces.resource/components.css.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:44:56 +0530] "GET /Pharmacy/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:44:56 +0530] "GET /Pharmacy/javax.faces.resource/core.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:44:56 +0530] "GET /Pharmacy/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:44:56 +0530] "GET /Pharmacy/javax.faces.resource/components.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:44:56 +0530] "GET /Pharmacy/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:45:00 +0530] "POST /Pharmacy/Home.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:45:00 +0530] "GET /Pharmacy/Login.xhtml HTTP/1.1" 200 5990
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:45:00 +0530] "GET /Pharmacy/javax.faces.resource/theme.css.xhtml?ln=primefaces-saga&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:45:00 +0530] "GET /Pharmacy/javax.faces.resource/components.css.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:45:00 +0530] "GET /Pharmacy/javax.faces.resource/components.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:45:00 +0530] "GET /Pharmacy/javax.faces.resource/watermark/watermark.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:45:00 +0530] "GET /Pharmacy/javax.faces.resource/core.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:45:00 +0530] "GET /Pharmacy/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:45:00 +0530] "GET /Pharmacy/javax.faces.resource/primeicons/primeicons.css.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:45:00 +0530] "GET /Pharmacy/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:45:00 +0530] "GET /Pharmacy/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:45:15 +0530] "POST /Pharmacy/Login.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:45:16 +0530] "GET /Pharmacy/Home.xhtml HTTP/1.1" 200 9441
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:45:16 +0530] "GET /Pharmacy/javax.faces.resource/theme.css.xhtml?ln=primefaces-saga&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:45:16 +0530] "GET /Pharmacy/javax.faces.resource/components.css.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:45:16 +0530] "GET /Pharmacy/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:45:16 +0530] "GET /Pharmacy/javax.faces.resource/primeicons/primeicons.css.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:45:16 +0530] "GET /Pharmacy/javax.faces.resource/components.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:45:16 +0530] "GET /Pharmacy/javax.faces.resource/core.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:45:16 +0530] "GET /Pharmacy/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:45:16 +0530] "GET /Pharmacy/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:45:20 +0530] "GET /Pharmacy/javax.faces.resource/primeicons/primeicons.woff2.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:45:20 +0530] "POST /Pharmacy/Home.xhtml HTTP/1.1" 200 208
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:45:27 +0530] "POST /Pharmacy/Home.xhtml HTTP/1.1" 500 14538
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:45:30 +0530] "GET /Pharmacy/Home.xhtml HTTP/1.1" 200 9443
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:45:40 +0530] "GET /Pharmacy/Login.xhtml HTTP/1.1" 200 6006
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:45:48 +0530] "POST /Pharmacy/Login.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:45:48 +0530] "GET /Pharmacy/Home.xhtml HTTP/1.1" 200 9443
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:45:48 +0530] "GET /Pharmacy/javax.faces.resource/theme.css.xhtml?ln=primefaces-saga&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:45:48 +0530] "GET /Pharmacy/javax.faces.resource/primeicons/primeicons.css.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:45:48 +0530] "GET /Pharmacy/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:45:48 +0530] "GET /Pharmacy/javax.faces.resource/components.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:45:48 +0530] "GET /Pharmacy/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:45:48 +0530] "GET /Pharmacy/javax.faces.resource/components.css.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:45:48 +0530] "GET /Pharmacy/javax.faces.resource/core.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:45:48 +0530] "GET /Pharmacy/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:45:50 +0530] "POST /Pharmacy/Home.xhtml HTTP/1.1" 500 14538
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:46:13 +0530] "POST /Pharmacy/Home.xhtml HTTP/1.1" 200 8572
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:46:13 +0530] "GET /Pharmacy/javax.faces.resource/theme.css.xhtml?ln=primefaces-saga&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:46:13 +0530] "GET /Pharmacy/javax.faces.resource/components.css.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:46:13 +0530] "GET /Pharmacy/javax.faces.resource/components.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:46:13 +0530] "GET /Pharmacy/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:46:13 +0530] "GET /Pharmacy/javax.faces.resource/primeicons/primeicons.css.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:46:13 +0530] "GET /Pharmacy/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:46:13 +0530] "GET /Pharmacy/javax.faces.resource/core.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:46:14 +0530] "GET /Pharmacy/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:46:14 +0530] "GET /Pharmacy/javax.faces.resource/primeicons/primeicons.woff2.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:46:21 +0530] "POST /Pharmacy/addRole.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:46:21 +0530] "GET /Pharmacy/addDoctor.xhtml HTTP/1.1" 200 10280
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:46:21 +0530] "GET /Pharmacy/javax.faces.resource/theme.css.xhtml?ln=primefaces-saga&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:46:21 +0530] "GET /Pharmacy/javax.faces.resource/core.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:46:21 +0530] "GET /Pharmacy/javax.faces.resource/primeicons/primeicons.css.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:46:21 +0530] "GET /Pharmacy/javax.faces.resource/components.css.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:46:21 +0530] "GET /Pharmacy/javax.faces.resource/components.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:46:21 +0530] "GET /Pharmacy/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:46:21 +0530] "GET /Pharmacy/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:46:59 +0530] "POST /Pharmacy/addDoctor.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:46:59 +0530] "GET /Pharmacy/Home.xhtml HTTP/1.1" 200 9445
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:47:00 +0530] "GET /Pharmacy/javax.faces.resource/theme.css.xhtml?ln=primefaces-saga&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:47:00 +0530] "GET /Pharmacy/javax.faces.resource/primeicons/primeicons.css.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:47:00 +0530] "GET /Pharmacy/javax.faces.resource/components.css.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:47:00 +0530] "GET /Pharmacy/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:47:00 +0530] "GET /Pharmacy/javax.faces.resource/core.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:47:00 +0530] "GET /Pharmacy/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:47:00 +0530] "GET /Pharmacy/javax.faces.resource/components.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:47:00 +0530] "GET /Pharmacy/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:47:46 +0530] "POST /Pharmacy/Home.xhtml HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:47:48 +0530] "POST /Pharmacy/Home.xhtml HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:47:48 +0530] "GET /Pharmacy/doctor.xhtml HTTP/1.1" 200 6572
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:47:49 +0530] "GET /Pharmacy/javax.faces.resource/theme.css.xhtml?ln=primefaces-saga&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:47:49 +0530] "GET /Pharmacy/javax.faces.resource/primeicons/primeicons.css.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:47:49 +0530] "GET /Pharmacy/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:47:52 +0530] "POST /Pharmacy/doctor.xhtml HTTP/1.1" 200 9443
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:47:52 +0530] "GET /Pharmacy/javax.faces.resource/theme.css.xhtml?ln=primefaces-saga&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:47:52 +0530] "GET /Pharmacy/javax.faces.resource/primeicons/primeicons.css.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:47:52 +0530] "GET /Pharmacy/javax.faces.resource/components.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:47:52 +0530] "GET /Pharmacy/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:47:52 +0530] "GET /Pharmacy/javax.faces.resource/components.css.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:47:52 +0530] "GET /Pharmacy/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:47:52 +0530] "GET /Pharmacy/javax.faces.resource/core.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:47:52 +0530] "GET /Pharmacy/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:47:54 +0530] "POST /Pharmacy/Home.xhtml HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:47:56 +0530] "POST /Pharmacy/Home.xhtml HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:48:12 +0530] "POST /Pharmacy/Home.xhtml HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:48:19 +0530] "POST /Pharmacy/Home.xhtml HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:48:22 +0530] "POST /Pharmacy/Home.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:48:22 +0530] "GET /Pharmacy/Login.xhtml HTTP/1.1" 200 5992
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:48:22 +0530] "GET /Pharmacy/javax.faces.resource/theme.css.xhtml?ln=primefaces-saga&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:48:22 +0530] "GET /Pharmacy/javax.faces.resource/primeicons/primeicons.css.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:48:22 +0530] "GET /Pharmacy/javax.faces.resource/components.css.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:48:22 +0530] "GET /Pharmacy/javax.faces.resource/core.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:48:22 +0530] "GET /Pharmacy/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:48:22 +0530] "GET /Pharmacy/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:48:22 +0530] "GET /Pharmacy/javax.faces.resource/watermark/watermark.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:48:22 +0530] "GET /Pharmacy/javax.faces.resource/components.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:48:22 +0530] "GET /Pharmacy/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
